horizon,model,dm_qlike_vs_har,p_value,sig
1,garch,-0.2370677883361669,0.8126177542102297,ns
1,xgb,-1.088715601957272,0.27635299390104984,ns
1,lstm,0.9538490434648496,0.3402248020633991,ns
1,transformer,0.8669909617204946,0.3860053769502403,ns
5,garch,0.3960029358505298,0.6921264678421188,ns
5,xgb,-2.280340814010856,0.02264639382370892,**
5,lstm,0.9411025362014498,0.34671620507728074,ns
5,transformer,0.5465987204534885,0.5846887234085973,ns
22,garch,1.1902428906858615,0.23403025935362032,ns
22,xgb,-0.3622341813201938,0.7171986607598826,ns
22,lstm,1.3927082264147472,0.16379547618369616,ns
22,transformer,-0.6568718852235468,0.5113059850440054,ns
